TICKER;OPERACION;MONTO;UNIDADES;FECHA
BITO;COMPRA;5,00;0,24248302;03-ene
BITO;DIVIDENDO;0,08;0,24248302;09-feb
BITO;DIVIDENDO;0,15;0,24248302;11-mar
BITO;DIVIDENDO;0,24;0,24248302;09-abr
BITO;DIVIDENDO;0,35;0,24248302;09-may
BITO;DIVIDENDO;0,37;0,24248302;11-jun
BITO;COMPRA;79,00;3,20356853;14-jun
BITO;COMPRA;11,00;0,43989983;21-jun
BITO;COMPRA;11,00;0,46660922;24-jun
BITO;COMPRA;11,00;0,47437011;25-jun
BITO;COMPRA;11,00;0,47352561;26-jun
BITO;COMPRA;10,00;0,4493985;27-jun
BITO;COMPRA;5,00;0,24670004;01-jul
BITO;COMPRA;12,00;0,54052086;02-jul
BITO;COMPRA;11,00;0,53474925;03-jul
BITO;COMPRA;11,00;0,5868448;05-jul
BITO;COMPRA;11,00;0,54204204;08-jul
BITO;COMPRA;12,00;0,59734777;09-jul
BITO;DIVIDENDO;7,34;8,79805958;10-jul
BITO;COMPRA;12,00;0,58613912;10-jul
BITO;COMPRA;31,00;1,53086419;10-jul
BITO;COMPRA;201,00;9,93129016;12-jul
BITO;COMPRA;19,00;0,93786403;12-jul
BITO;COMPRA;188,00;11,08972845;05-ago
BITO;COMPRA;43,00;2,30597449;07-ago
BITO;COMPRA;21,00;1,12306672;08-ago
BITO;DIVIDENDO;26,79;36,30298674;09-ago
BITO;COMPRA;42,00;2,21533008;12-ago
BITO;COMPRA;26,00;1,35859442;13-ago
BITO;COMPRA;18,00;0,93029025;14-ago
BITO;COMPRA;16,00;0,8198429;14-ago
BITO;COMPRA;48,00;2,48591315;15-ago
BITO;COMPRA;48,00;2,52589448;16-ago
BITO;COMPRA;50,00;2,6496141;19-ago
BITO;COMPRA;49,00;2,51857841;20-ago
BITO;COMPRA;64,00;3,28393744;20-ago
BITO;COMPRA;49,00;2,78383535;03-sep
BITO;COMPRA;36,00;2,10918548;04-sep
BITO;COMPRA;8,00;0,45527363;06-sep
BITO;DIVIDENDO;56,61;60,43927643;11-sep
BITO;COMPRA;34,00;2,00367733;11-sep
BITO;COMPRA;91,00;5,14740819;13-sep
BITO;DIVIDENDO;62,69;67,59036195;09-oct
BITO;COMPRA;257,00;14,65874661;11-oct
BITO;COMPRA;8,00;0,43339762;14-oct
BITO;COMPRA;9,00;0,47619552;15-oct
BITO;COMPRA;8,00;0,41625907;16-oct
BITO;COMPRA;8,00;0,42007697;17-oct
BITO;COMPRA;310,00;15,97213635;18-oct
SCHD;COMPRA;1.456;50,79354559;21-oct
SCHD;COMPRA;201;7,10721247;22-oct
SCHD;COMPRA;32;1,12959249;23-oct
VOO;COMPRA;78,75;0,15793273;26-jul
VOO;COMPRA;1.043,12;2,07926033;26-jul
VOO;DIVIDENDO;3,12;2,23719306;02-oct
VOO;COMPRA;5;0,00958536;02-oct
JEPQ;COMPRA;5;0,10072522;02-ene
JEPQ;DIVIDENDO;0;0,10072522;07-feb
JEPQ;DIVIDENDO;0;0,10072522;07-mar
JEPQ;DIVIDENDO;0,03;0,10072522;05-abr
JEPQ;DIVIDENDO;0,03;0,10072522;07-may
JEPQ;DIVIDENDO;0,04;0,10072522;06-jun
JEPQ;DIVIDENDO;0,03;0,10072522;06-jun
JEPQ;DIVIDENDO;0,03;0,10072522;06-ago
JEPQ;DIVIDENDO;0,05;0,10072522;06-sep
JEPQ;DIVIDENDO;0,05;0,10072522;04-oct
JEPQ;COMPRA;800;14,47733211;18-oct
JEPQ;COMPRA;16;0,28912806;21-oct
JEPQ;COMPRA;43;0,77928479;24-oct
IDV;COMPRA;91;3,1358981;23-oct
IDV;COMPRA;43;1,47412229;25-oct
IDV;COMPRA;42;1,44088264;28-oct
IDV;COMPRA;42;1,446839;29-oct
IDV;COMPRA;41;1,41531578;30-oct
IDV;COMPRA;42;1,46705415;31-oct
